attribute,group,eligible,recall,R_min,fairness_gap,brier,composite_score
sex,F,True,0.5789473684210527,0.5789473684210527,0.1637931034482759,0.07727385335656742,69.66750785041937
sex,M,True,0.6428571428571429,,,,
school,GP,True,0.5862068965517241,,,,
school,MS,True,0.75,,,,
